date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
1950-01-14,Scotland,France,8,5,"1950 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1950-01-28,France,Ireland,3,3,"1950 Five Nations","Stade Colombes",Paris,France,False,False
1950-02-25,France,England,6,3,"1950 Five Nations","Stade Colombes",Paris,France,False,False
1950-03-25,Wales,France,21,0,"1950 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1951-01-13,France,Scotland,14,12,"1951 Five Nations","Stade Colombes",Paris,France,False,False
1951-01-27,Ireland,France,9,8,"1951 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1951-02-24,England,France,3,11,"1951 Five Nations",Twickenham,London,England,False,False
1951-04-07,France,Wales,8,3,"1951 Five Nations","Stade Colombes",Paris,France,False,False
1952-01-12,Scotland,France,11,13,"1952 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1952-01-26,France,Ireland,8,11,"1952 Five Nations","Stade Colombes",Paris,France,False,False
1952-02-16,France,"South Africa",3,25,"1951 South Africa Tour of UK & France","Stade Colombes",Paris,France,False,False
1952-03-22,Wales,France,9,5,"1952 Five Nations","St Helen's",Swansea,Wales,False,False
1952-04-05,France,England,3,6,"1952 Five Nations","Stade Colombes",Paris,France,False,False
1952-05-17,Italy,France,8,17,,,,,False,False
1953-01-10,France,Scotland,11,5,"1953 Five Nations","Stade Colombes",Paris,France,False,False
1953-01-24,Ireland,France,16,3,"1953 Five Nations",Ravenhill,Belfast,"Northern Ireland",False,False
1953-02-28,England,France,11,0,"1953 Five Nations",Twickenham,London,England,False,False
1953-03-28,France,Wales,3,6,"1953 Five Nations","Stade Colombes",Paris,France,False,False
1953-04-26,France,Italy,22,8,,,,,False,False
1954-01-09,Scotland,France,0,3,"1954 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1954-01-23,France,Ireland,8,0,"1954 Five Nations","Stade Colombes",Paris,France,False,False
1954-02-27,France,"New Zealand",3,0,"1953 New Zealand Tour of British Isles, France, Canada & California","Stade Colombes",Paris,France,False,False
1954-03-27,Wales,France,19,13,"1954 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1954-04-10,France,England,11,3,"1954 Five Nations","Stade Colombes",Paris,France,False,False
1954-04-21,Spain,France,28,45,,"Campo 'Las Cortas'",Barcelona,Spain,False,False
1954-04-24,Italy,France,12,39,"1954 Europe Cup",,,,False,False
1954-08-29,Argentina,France,8,22,,"Gimnasia y Esgrima de Buenos Aires","Buenos Aires",Argentina,False,False
1954-09-12,Argentina,France,3,30,,"Gimnasia y Esgrima de Buenos Aires","Buenos Aires",Argentina,False,False
1954-09-18,Chile,France,3,42,,"Stade Français",Santiago,Chile,False,False
1955-01-08,France,Scotland,15,0,"1955 Five Nations","Stade Colombes",Paris,France,False,False
1955-01-22,Ireland,France,3,5,"1955 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1955-02-26,England,France,9,16,"1955 Five Nations",Twickenham,London,England,False,False
1955-03-26,France,Wales,11,16,"1955 Five Nations","Stade Colombes",Paris,France,False,False
1955-04-10,France,Italy,24,0,,,,,False,False
1955-04-25,France,Spain,50,6,,"Stade Municipal",Limoges,France,False,False
1955-07-21,France,Italy,16,8,,,,,False,False
1955-07-24,Spain,France,6,45,"1955 Mediterranean Games","Estadi Municipal Foixarda",Barcelona,Spain,False,False
1956-01-14,Scotland,France,12,0,"1956 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1956-01-28,France,Ireland,14,8,"1956 Five Nations","Stade Colombes",Paris,France,False,False
1956-03-24,Wales,France,5,3,"1956 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1956-03-25,Spain,France,3,42,,"Campo de Vallejo",Valencia,Spain,False,False
1956-04-02,Italy,France,3,16,,,,,False,False
1956-04-14,France,England,14,9,"1956 Five Nations","Stade Colombes",Paris,France,False,False
1956-12-16,France,Czechoslovakia,28,3,,,,,False,False
1957-01-12,France,Scotland,0,6,"1957 Five Nations","Stade Colombes",Paris,France,False,False
1957-01-26,Ireland,France,11,6,"1957 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1957-02-23,England,France,9,5,"1957 Five Nations",Twickenham,London,England,False,False
1957-03-23,France,Wales,13,19,"1957 Five Nations","Stade Colombes",Paris,France,False,False
1957-04-21,France,Italy,38,6,,,,,False,False
1957-05-19,Romania,France,15,18,,"Stadionul 23 August",Bucuresti,Romania,False,False
1957-08-03,Czechoslovakia,France,19,38,,,,,False,False
1957-10-06,Czechoslovakia,France,3,30,,,,,False,False
1957-12-15,France,Romania,39,0,,,,,False,False
1958-01-11,Scotland,France,11,9,"1958 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1958-03-01,France,England,0,14,"1958 Five Nations","Stade Colombes",Paris,France,False,False
1958-03-09,France,Australia,19,0,"1957 Australia Tour of UK & France","Stade Colombes",Paris,France,False,False
1958-03-29,Wales,France,6,16,"1958 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1958-04-07,Italy,France,3,11,,,,,False,False
1958-04-19,France,Ireland,11,6,"1958 Five Nations","Stade Colombes",Paris,France,False,False
1958-07-12,Rhodesia,France,0,19,"1958 France Tour of South Africa","Police Ground",Salisbury,Zimbabwe,False,False
1958-07-16,"Northern & Western Transvaal",France,19,18,"1958 France Tour of South Africa","Loftus Versfeld",Pretoria,"South Africa",False,False
1958-07-19,"Eastern Transvaal / Natal / Transvaal",France,14,16,"1958 France Tour of South Africa","PAM Brink Stadium",Springs,"South Africa",False,False
1958-07-22,"Free State / Griqualand West / South West Africa",France,11,11,"1958 France Tour of South Africa","Free State Stadium",Bloemfontein,"South Africa",False,False
1958-07-26,"South Africa",France,3,3,"1958 France Tour of South Africa","Newlands Stadium","Cape Town","South Africa",False,False
1958-07-30,"Western Province / South Western Districts / Boland",France,38,8,"1958 France Tour of South Africa",,,,False,False
1958-08-02,"Junior Springboks",France,9,5,"1958 France Tour of South Africa","Crusader Ground","Port Elizabeth","South Africa",False,False
1958-08-06,"Border /  Eastern Province / North Eastern Districts",France,9,16,"1958 France Tour of South Africa","Border Ground","East London","South Africa",False,False
1958-08-09,"South African Universities",France,16,32,"1958 France Tour of South Africa",Kingsmead,Durban,"South Africa",False,False
1958-08-16,"South Africa",France,5,9,"1958 France Tour of South Africa","Ellis Park",Johannesburg,"South Africa",False,False
1959-01-10,France,Scotland,9,0,"1959 Five Nations","Stade Colombes",Paris,France,False,False
1959-02-28,England,France,3,3,"1959 Five Nations",Twickenham,London,England,False,False
1959-03-29,France,Italy,22,0,,"Stade Marcel Saupin",Nantes,France,False,False
1959-04-04,France,Wales,11,3,"1959 Five Nations","Stade Colombes",Paris,France,False,False
1959-04-18,Ireland,France,9,5,"1959 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1960-01-09,Scotland,France,11,13,"1960 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1960-02-27,France,England,3,3,"1960 Five Nations","Stade Colombes",Paris,France,False,False
1960-03-26,Wales,France,8,16,"1960 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1960-04-09,France,Ireland,23,6,"1960 Five Nations","Stade Colombes",Paris,France,False,False
